id,date,bank_rate,Quarter,Year,Month,Week_Num,brm_lookup,,,
brw_175,2016-12-07,0.75,4,2016,12,50,brm_041,,,
brw_176,2016-12-14,0.75,4,2016,12,51,brm_041,,,
brw_177,2016-12-21,0.75,4,2016,12,52,brm_041,,,
brw_178,2016-12-28,0.75,4,2016,12,53,brm_041,,,
brw_179,2017-01-04,0.75,1,2017,1,1,brm_042,,,
brw_180,2017-01-11,0.75,1,2017,1,2,brm_042,,,
brw_181,2017-01-18,0.75,1,2017,1,3,brm_042,,,
brw_182,2017-01-25,0.75,1,2017,1,4,brm_042,,,
brw_183,2017-02-01,0.75,1,2017,2,5,brm_043,,,
brw_184,2017-02-08,0.75,1,2017,2,6,brm_043,,,
brw_185,2017-02-15,0.75,1,2017,2,7,brm_043,,,
brw_186,2017-02-22,0.75,1,2017,2,8,brm_043,,,
brw_187,2017-03-01,0.75,1,2017,3,9,brm_044,,,
brw_188,2017-03-08,0.75,1,2017,3,10,brm_044,,,
brw_189,2017-03-15,0.75,1,2017,3,11,brm_044,,,
brw_190,2017-03-22,0.75,1,2017,3,12,brm_044,,,
brw_191,2017-03-29,0.75,1,2017,3,13,brm_044,,,
brw_192,2017-04-05,0.75,2,2017,4,14,brm_045,,,
brw_193,2017-04-12,0.75,2,2017,4,15,brm_045,,,
brw_194,2017-04-19,0.75,2,2017,4,16,brm_045,,,
brw_195,2017-04-26,0.75,2,2017,4,17,brm_045,,,
brw_196,2017-05-03,0.75,2,2017,5,18,brm_046,,,
brw_197,2017-05-10,0.75,2,2017,5,19,brm_046,,,
brw_198,2017-05-17,0.75,2,2017,5,20,brm_046,,,
brw_199,2017-05-24,0.75,2,2017,5,21,brm_046,,,
brw_200,2017-05-31,0.75,2,2017,5,22,brm_046,,,
brw_201,2017-06-07,0.75,2,2017,6,23,brm_047,,,
brw_202,2017-06-14,0.75,2,2017,6,24,brm_047,,,
brw_203,2017-06-21,0.75,2,2017,6,25,brm_047,,,
brw_204,2017-06-28,0.75,2,2017,6,26,brm_047,,,
brw_205,2017-07-05,0.75,3,2017,7,27,brm_048,,,
brw_206,2017-07-12,1,3,2017,7,28,brm_048,,,
brw_207,2017-07-19,1,3,2017,7,29,brm_048,,,
brw_208,2017-07-26,1,3,2017,7,30,brm_048,,,
brw_209,2017-08-02,1,3,2017,8,31,brm_049,,,
brw_210,2017-08-09,1,3,2017,8,32,brm_049,,,
brw_211,2017-08-16,1,3,2017,8,33,brm_049,,,
brw_212,2017-08-23,1,3,2017,8,34,brm_049,,,
brw_213,2017-08-30,1,3,2017,8,35,brm_049,,,
brw_214,2017-09-06,1.25,3,2017,9,36,brm_050,,,
brw_215,2017-09-13,1.25,3,2017,9,37,brm_050,,,
brw_216,2017-09-20,1.25,3,2017,9,38,brm_050,,,
brw_217,2017-09-27,1.25,3,2017,9,39,brm_050,,,
brw_218,2017-10-04,1.25,4,2017,10,40,brm_051,,,
brw_219,2017-10-11,1.25,4,2017,10,41,brm_051,,,
brw_220,2017-10-18,1.25,4,2017,10,42,brm_051,,,
brw_221,2017-10-25,1.25,4,2017,10,43,brm_051,,,
brw_222,2017-11-01,1.25,4,2017,11,44,brm_052,,,
brw_223,2017-11-08,1.25,4,2017,11,45,brm_052,,,
brw_224,2017-11-15,1.25,4,2017,11,46,brm_052,,,
brw_225,2017-11-22,1.25,4,2017,11,47,brm_052,,,
brw_226,2017-11-29,1.25,4,2017,11,48,brm_052,,,
brw_227,2017-12-06,1.25,4,2017,12,49,brm_053,,,
brw_228,2017-12-13,1.25,4,2017,12,50,brm_053,,,
brw_229,2017-12-20,1.25,4,2017,12,51,brm_053,,,
brw_230,2017-12-27,1.25,4,2017,12,52,brm_053,,,
brw_231,2018-01-03,1.25,1,2018,1,1,brm_054,,,
brw_232,2018-01-10,1.25,1,2018,1,2,brm_054,,,
brw_233,2018-01-17,1.5,1,2018,1,3,brm_054,,,
brw_234,2018-01-24,1.5,1,2018,1,4,brm_054,,,
brw_235,2018-01-31,1.5,1,2018,1,5,brm_054,,,
brw_236,2018-02-07,1.5,1,2018,2,6,brm_055,,,
brw_237,2018-02-14,1.5,1,2018,2,7,brm_055,,,
brw_238,2018-02-21,1.5,1,2018,2,8,brm_055,,,
brw_239,2018-02-28,1.5,1,2018,2,9,brm_055,,,
brw_240,2018-03-07,1.5,1,2018,3,10,brm_056,,,
brw_241,2018-03-14,1.5,1,2018,3,11,brm_056,,,
brw_242,2018-03-21,1.5,1,2018,3,12,brm_056,,,
brw_243,2018-03-28,1.5,1,2018,3,13,brm_056,,,
brw_244,2018-04-04,1.5,2,2018,4,14,brm_057,,,
brw_245,2018-04-11,1.5,2,2018,4,15,brm_057,,,
brw_246,2018-04-18,1.5,2,2018,4,16,brm_057,,,
brw_247,2018-04-25,1.5,2,2018,4,17,brm_057,,,
brw_248,2018-05-02,1.5,2,2018,5,18,brm_058,,,
brw_249,2018-05-09,1.5,2,2018,5,19,brm_058,,,
brw_250,2018-05-16,1.5,2,2018,5,20,brm_058,,,
brw_251,2018-05-23,1.5,2,2018,5,21,brm_058,,,
brw_252,2018-05-30,1.5,2,2018,5,22,brm_058,,,
brw_253,2018-06-06,1.5,2,2018,6,23,brm_059,,,
brw_254,2018-06-13,1.5,2,2018,6,24,brm_059,,,
brw_255,2018-06-20,1.5,2,2018,6,25,brm_059,,,
brw_256,2018-06-27,1.5,2,2018,6,26,brm_059,,,
brw_257,2018-07-04,1.5,3,2018,7,27,brm_060,,,
brw_258,2018-07-11,1.75,3,2018,7,28,brm_060,,,
brw_259,2018-07-18,1.75,3,2018,7,29,brm_060,,,
brw_260,2018-07-25,1.75,3,2018,7,30,brm_060,,,
brw_261,2018-08-01,1.75,3,2018,8,31,brm_061,,,
brw_262,2018-08-08,1.75,3,2018,8,32,brm_061,,,
brw_263,2018-08-15,1.75,3,2018,8,33,brm_061,,,
brw_264,2018-08-22,1.75,3,2018,8,34,brm_061,,,
brw_265,2018-08-29,1.75,3,2018,8,35,brm_061,,,
brw_266,2018-09-05,1.75,3,2018,9,36,brm_062,,,
brw_267,2018-09-12,1.75,3,2018,9,37,brm_062,,,
brw_268,2018-09-19,1.75,3,2018,9,38,brm_062,,,
brw_269,2018-09-26,1.75,3,2018,9,39,brm_062,,,
brw_270,2018-10-03,1.75,4,2018,10,40,brm_063,,,
brw_271,2018-10-10,1.75,4,2018,10,41,brm_063,,,
brw_272,2018-10-17,1.75,4,2018,10,42,brm_063,,,
brw_273,2018-10-24,2,4,2018,10,43,brm_063,,,
brw_274,2018-10-31,2,4,2018,10,44,brm_063,,,
brw_275,2018-11-07,2,4,2018,11,45,brm_064,,,
brw_276,2018-11-14,2,4,2018,11,46,brm_064,,,
brw_277,2018-11-21,2,4,2018,11,47,brm_064,,,
brw_278,2018-11-28,2,4,2018,11,48,brm_064,,,
brw_279,2018-12-05,2,4,2018,12,49,brm_065,,,
brw_280,2018-12-12,2,4,2018,12,50,brm_065,,,
brw_281,2018-12-19,2,4,2018,12,51,brm_065,,,
brw_282,2018-12-26,2,4,2018,12,52,brm_065,,,
brw_283,2019-01-02,2,1,2019,1,1,brm_066,,,
brw_284,2019-01-09,2,1,2019,1,2,brm_066,,,
brw_285,2019-01-16,2,1,2019,1,3,brm_066,,,
brw_286,2019-01-23,2,1,2019,1,4,brm_066,,,
brw_287,2019-01-30,2,1,2019,1,5,brm_066,,,
brw_288,2019-02-06,2,1,2019,2,6,brm_067,,,
brw_289,2019-02-13,2,1,2019,2,7,brm_067,,,
brw_290,2019-02-20,2,1,2019,2,8,brm_067,,,
brw_291,2019-02-27,2,1,2019,2,9,brm_067,,,
brw_292,2019-03-06,2,1,2019,3,10,brm_068,,,
brw_293,2019-03-13,2,1,2019,3,11,brm_068,,,
brw_294,2019-03-20,2,1,2019,3,12,brm_068,,,
brw_295,2019-03-27,2,1,2019,3,13,brm_068,,,
brw_296,2019-04-03,2,2,2019,4,14,brm_069,,,
brw_297,2019-04-10,2,2,2019,4,15,brm_069,,,
brw_298,2019-04-17,2,2,2019,4,16,brm_069,,,
brw_299,2019-04-24,2,2,2019,4,17,brm_069,,,
brw_300,2019-05-01,2,2,2019,5,18,brm_070,,,
brw_301,2019-05-08,2,2,2019,5,19,brm_070,,,
brw_302,2019-05-15,2,2,2019,5,20,brm_070,,,
brw_303,2019-05-22,2,2,2019,5,21,brm_070,,,
brw_304,2019-05-29,2,2,2019,5,22,brm_070,,,
brw_305,2019-06-05,2,2,2019,6,23,brm_071,,,
brw_306,2019-06-12,2,2,2019,6,24,brm_071,,,
brw_307,2019-06-19,2,2,2019,6,25,brm_071,,,
brw_308,2019-06-26,2,2,2019,6,26,brm_071,,,
brw_309,2019-07-03,2,3,2019,7,27,brm_072,,,
brw_310,2019-07-10,2,3,2019,7,28,brm_072,,,
brw_311,2019-07-17,2,3,2019,7,29,brm_072,,,
brw_312,2019-07-24,2,3,2019,7,30,brm_072,,,
brw_313,2019-07-31,2,3,2019,7,31,brm_072,,,
brw_314,2019-08-07,2,3,2019,8,32,brm_073,,,
brw_315,2019-08-14,2,3,2019,8,33,brm_073,,,
brw_316,2019-08-21,2,3,2019,8,34,brm_073,,,
brw_317,2019-08-28,2,3,2019,8,35,brm_073,,,
brw_318,2019-09-04,2,3,2019,9,36,brm_074,,,
brw_319,2019-09-11,2,3,2019,9,37,brm_074,,,
brw_320,2019-09-18,2,3,2019,9,38,brm_074,,,
brw_321,2019-09-25,2,3,2019,9,39,brm_074,,,
brw_322,2019-10-02,2,4,2019,10,40,brm_075,,,
brw_323,2019-10-09,2,4,2019,10,41,brm_075,,,
brw_324,2019-10-16,2,4,2019,10,42,brm_075,,,
brw_325,2019-10-23,2,4,2019,10,43,brm_075,,,
